Timestamp,Temperature,Humidity,CO2,PM10,PM2.5,AQI
2025-01-01 00:00:00,16.0,64.9,396.2,78.3,46.0,88
2025-01-01 01:00:00,16.0,50.9,419.8,86.2,52.1,96
2025-01-01 02:00:00,18.8,49.1,411.9,67.7,40.6,71
2025-01-01 03:00:00,21.6,55.9,423.9,100.7,62.1,115
2025-01-01 04:00:00,18.9,51.1,440.3,55.1,32.9,69
2025-01-01 05:00:00,19.4,48.1,434.6,98.4,61.4,112
2025-01-01 06:00:00,23.2,55.1,431.0,80.3,49.6,96
2025-01-01 07:00:00,21.4,51.4,433.4,91.7,57.8,108
2025-01-01 08:00:00,18.4,51.7,440.9,86.3,52.2,92
2025-01-01 09:00:00,19.7,56.9,441.7,83.3,51.2,93
2025-01-01 10:00:00,16.6,53.2,431.5,79.3,51.9,95
2025-01-01 11:00:00,15.4,65.4,428.8,86.1,52.7,91
2025-01-01 12:00:00,15.6,56.2,401.0,69.4,42.3,63
2025-01-01 13:00:00,10.0,66.0,389.4,92.8,56.9,98
2025-01-01 14:00:00,9.1,72.3,372.5,62.7,38.7,58
2025-01-01 15:00:00,10.4,60.3,362.6,70.2,41.3,70
2025-01-01 16:00:00,8.8,67.1,377.5,83.1,52.2,85
2025-01-01 17:00:00,10.9,75.6,354.3,79.9,48.0,90
2025-01-01 18:00:00,8.3,76.0,353.5,76.0,48.6,81
2025-01-01 19:00:00,7.5,69.0,340.3,66.3,41.9,78
2025-01-01 20:00:00,13.7,65.2,360.8,79.0,47.7,89
2025-01-01 21:00:00,11.2,72.1,371.3,57.6,36.0,68
2025-01-01 22:00:00,12.8,71.1,386.1,98.4,56.4,92
2025-01-01 23:00:00,11.0,57.0,393.4,71.6,42.9,82
2025-01-02 00:00:00,14.1,54.2,398.8,53.9,32.5,60
2025-01-02 01:00:00,16.7,58.8,411.3,63.1,36.6,69
2025-01-02 02:00:00,15.4,58.4,424.3,,,94
2025-01-02 03:00:00,19.5,51.7,436.5,82.9,49.5,93
2025-01-02 04:00:00,18.3,55.0,456.0,105.9,64.9,110
2025-01-02 05:00:00,19.5,47.1,459.0,72.0,41.3,77
2025-01-02 06:00:00,19.0,39.7,457.5,,,82
2025-01-02 07:00:00,23.8,48.6,468.6,,,73
2025-01-02 08:00:00,19.5,52.0,416.7,70.3,45.2,78
2025-01-02 09:00:00,16.7,51.9,430.7,96.5,61.8,111
2025-01-02 10:00:00,19.4,49.6,424.8,68.9,38.2,61
2025-01-02 11:00:00,14.1,48.7,406.2,89.9,50.7,84
2025-01-02 12:00:00,15.7,57.8,390.6,78.2,47.9,83
2025-01-02 13:00:00,10.0,67.5,369.8,69.9,43.2,76
2025-01-02 14:00:00,10.1,71.7,371.8,,,81
